Yearclass,SSB,Observed_Recruitment
1970,51113,322392
1971,50857,278521
1972,51266,150973
1973,51539,465746
1974,46241,164391
1975,41025,135241
1976,36159,112512
1977,31021,95145
1978,27718,99656
1979,24534,81299
1980,22252,80599
1981,19138,82285
1982,18020,104287
1983,17279,93252
1984,16438,98867
1985,14850,102505
1986,15239,91424
1987,14630,138821
1988,14523,121629
1989,14103,114105
1990,13546,94800
1991,13283,83580
1992,12927,77333
1993,13133,88548
1994,13055,114612
1995,13721,92054
1996,14996,75317
1997,16121,101446
1998,16494,104719
1999,16136,90853
2000,16445,91803
2001,16249,105420
2002,16103,173337
2003,16178,149469
2004,16797,63186
2005,17324,86729
2006,18047,96287
2007,20301,74561
2008,21323,65547
2009,21706,80317
